Repo Name,Count,Mean,Std Dev,Min,Q1,Median (Q2),Q3,Max,IQR
libredwg,4,11.75,15.270478054075452,1.0,1.75,4.0,14.0,38.0,12.25
libxlsxwriter,5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
limine,4,1.25,0.4330127018922193,1.0,1.0,1.0,1.25,2.0,0.25
link-grammar,5,4.0,0.0,4.0,4.0,4.0,4.0,4.0,0.0
linux,4,2.5,1.118033988749895,1.0,1.75,2.5,3.25,4.0,1.5
llama.cpp,4,13.75,13.5531361684298,1.0,4.0,9.0,18.75,36.0,14.75
longtail,4,8.25,6.015604707757983,1.0,3.25,8.0,13.0,16.0,9.75
lsquic,5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
magic,5,47.0,0.0,47.0,47.0,47.0,47.0,47.0,0.0
magisk,5,3.6,2.5768197453450252,1.0,2.0,2.0,5.0,8.0,3.0
mbed-os,4,1.5,0.8660254037844386,1.0,1.0,1.0,1.5,3.0,0.5
minic,5,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0
minisatip,5,26.3,18.824452183264192,2.0,6.0,33.0,43.5,47.0,37.5
mongo-c-driver,5,20.5,13.08147545195113,2.0,11.25,20.5,29.75,39.0,18.5
moonlight-tv,4,2.0625,1.3272975363497064,1.0,1.0,1.5,2.5625,4.25,1.5625
mympd,4,3.875,2.301494079940246,1.0,2.125,3.75,5.5,7.0,3.375
nano-node,4,2.125,1.243734296383275,1.0,1.0,1.75,2.875,4.0,1.875
neosphere,5,7.5,5.585696017507576,2.0,3.0,5.0,10.5,17.0,7.5
nghttp2,4,1.875,0.739509972887452,1.0,1.375,1.75,2.25,3.0,0.875
nodegui,4,2.0,1.224744871391589,1.0,1.0,1.5,2.5,4.0,1.5
notcurses,4,1.0625,0.10825317547305482,1.0,1.0,1.0,1.0625,1.25,0.0625
nvenc,4,6.0,3.395769426801531,3.0,3.9375,4.625,6.6875,11.75,2.75
obs-studio,4,2.125,1.4306903927824497,1.0,1.0,1.5,2.625,4.5,1.625
omnimidi,4,22.0,16.885644790768282,4.0,9.625,17.75,30.125,48.5,20.5
oneplus9pro,5,128.0,0.0,128.0,128.0,128.0,128.0,128.0,0.0
opengeode,4,11.0,10.653637876331258,1.0,2.5,7.5,16.0,28.0,13.5
openjkdf2,5,86.0,0.0,86.0,86.0,86.0,86.0,86.0,0.0
openpmix,4,1.25,0.4330127018922193,1.0,1.0,1.0,1.25,2.0,0.25
openstudio,4,1.75,0.46770717334674267,1.0,1.5625,1.875,2.0625,2.25,0.5
openttd-patches,4,4.0,2.23606797749979,1.0,2.5,4.0,5.5,7.0,3.0
openvisus,4,6.5,6.085330722319043,1.0,2.6875,4.125,7.9375,16.75,5.25
outcome,4,5.25,3.7458310159429242,1.0,2.3125,4.625,7.5625,10.75,5.25
patchersupportpkg,5,36.5,33.1058907144937,3.0,11.5,20.0,56.0,92.0,44.5
pgbackrest,5,3.5,1.70293863659264,1.0,2.5,3.5,4.5,6.0,2.0
pmdsky-debug,4,11.75,10.133484099755622,3.0,6.0,7.5,13.25,29.0,7.25
ponyc,4,1.625,1.0825317547305484,1.0,1.0,1.0,1.625,3.5,0.625
power-grid-model,4,2.5,1.6583123951777,1.0,1.0,2.0,3.5,5.0,2.5
pspg,5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
qsvenc,5,7.4,5.0039984012787215,1.0,3.0,8.0,10.0,15.0,7.0
quiet,4,1.25,0.4330127018922193,1.0,1.0,1.0,1.25,2.0,0.25
rainmeter,5,33.0,0.0,33.0,33.0,33.0,33.0,33.0,0.0
rapidfuzz,5,4.4,3.2619012860600183,1.0,2.0,3.0,6.0,10.0,4.0
react-native-code-push,4,1.75,0.82915619758885,1.0,1.0,1.5,2.25,3.0,1.25
redisgraph,4,1.5,0.5,1.0,1.0,1.5,2.0,2.0,1.0
redumper,5,187.0,0.0,187.0,187.0,187.0,187.0,187.0,0.0
s2n-tls,4,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
sandboxie,4,2.875,2.072890493972125,1.0,1.0,2.25,4.125,6.0,3.125
score,5,7.0,6.164414002968976,1.0,2.0,5.0,9.0,18.0,7.0
sfall,5,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0
simplewall,5,1.5,0.3535533905932738,1.0,1.25,1.5,1.75,2.0,0.5
stellar-core,4,2.25,1.346291201783626,1.0,1.375,1.75,2.625,4.5,1.25
swiss-gc,5,7.0,0.0,7.0,7.0,7.0,7.0,7.0,0.0
systemverilog-plugin,4,13.625,13.808398712377913,1.0,2.875,8.75,19.5,36.0,16.625
tasmota,4,1.75,0.82915619758885,1.0,1.0,1.5,2.25,3.0,1.25
tdengine,4,1.25,0.4330127018922193,1.0,1.0,1.0,1.25,2.0,0.25
tectonic,4,2.0625,1.1775902300885484,1.0,1.1875,1.625,2.5,4.0,1.3125
tenzir,4,1.75,0.82915619758885,1.0,1.0,1.5,2.25,3.0,1.25
texstudio,4,7.25,4.437059837324712,2.0,4.25,6.5,9.5,14.0,5.25
treesheets,5,56.0,0.0,56.0,56.0,56.0,56.0,56.0,0.0
umineko-scripting,5,6.6,6.086049621881176,1.0,2.0,3.0,10.0,17.0,8.0
unleashed-firmware,5,28.5,6.782329983125268,20.0,23.5,27.0,33.0,39.0,9.5
voukoder,5,26.0,0.0,26.0,26.0,26.0,26.0,26.0,0.0
vtm,5,21.0,0.0,21.0,21.0,21.0,21.0,21.0,0.0
wazuh,4,1.75,0.82915619758885,1.0,1.0,1.5,2.25,3.0,1.25
windows-driver-samples,5,9.5,1.0606601717798212,8.0,8.75,9.5,10.25,11.0,1.5
winmerge-v2-jp,5,14.25,10.80277742064512,1.0,4.75,13.0,22.5,30.0,17.75
wire-avs,4,4.6875,3.119369928366945,1.0,2.6875,4.125,6.125,9.5,3.4375
xemu,5,3.0,0.7071067811865476,2.0,2.5,3.0,3.5,4.0,1.0
xrobot,5,91.0,0.0,91.0,91.0,91.0,91.0,91.0,0.0
zephyr,4,1.5,0.8660254037844386,1.0,1.0,1.0,1.5,3.0,0.5
ziti-sdk-c,4,5.0,3.6571847095819483,1.0,2.125,4.25,7.125,10.5,5.0
ziti-tunnel-sdk-c,4,4.0,2.7386127875258306,1.0,1.75,3.5,5.75,8.0,4.0
zpl,4,5.5,3.3541019662496847,1.0,3.25,5.5,7.75,10.0,4.5
