name
babylonjs/babylonreactnative
stanzaorg/lbstanza
topjohnwu/magisk
particle-iot/device-os
rdbo/libmem
defold/defold
aardappel/treesheets
advancedfx/advancedfx-prop
meganz/megasync
rigaya/qsvenc
libki/libki-client
sidoh/esp8266_milight_hub
litespeedtech/openlitespeed
meganz/megachat
greenplum-db/gporca
gams-dev/studio
coronalabs/corona
netxs-group/vtm
bblanchon/arduinojson
tdesktop-x64/tdesktop
nghttp2/nghttp2
vouk/voukoder
mellanox/libvma
orbiternassp/nassp
sdottaka/winmerge-v2-jp
adguardteam/dnslibs
solo-io/envoy-gloo
maxbachmann/rapidfuzz
advancedfx/advancedfx
maddecoder/classic-rbdoom-3-bfg
tryingsomestuff/minic
torognes/vsearch
maetrim/ddobuilder
wirenboard/wb-mqtt-serial
tomharte/clk
violetgiraffe/file-commander
deemru/chromium-gost
rigaya/nvenc
citra-emu/citra-nightly
citra-emu/citra-canary
jgrennison/openttd-patches
beached/daw_json_link
stephengold/libbulletjme
texstudio-org/texstudio
microsoft/cppwinrt
facebook/fatal
ossia/score
ned14/outcome
nrel/openstudio
chrisant996/clink
playfab/unrealmarketplaceplugin
geode-solutions/opengeode
nodegui/nodegui
nanocurrency/nano-node
pbek/qownnotes
ds-homebrew/twilightmenu
lammps/lammps
etlcpp/etl
calamares/calamares
gvaliente/butano
cataclysmbnteam/cataclysm-bn
unetworking/uwebsockets
google/libphonenumber
yhirose/cpp-httplib
sysown/proxysql
harfbuzz/harfbuzz
winmerge/winmerge
dfhack/dfhack
zilliqa/zilliqa
sideeffects/sidefxlabs
thpatch/thcrap
stream-labs/obs-studio-node
mangosone/server
skalenetwork/skaled
aws/aws-iot-device-sdk-cpp-v2
awslabs/aws-crt-cpp
aaronfeng753/waifu2x-extension-gui
khronosgroup/vulkan-hpp
cxbx-reloaded/cxbx-reloaded
fargroup/farmanager
genivia/ugrep
adventuregamestudio/ags
opengisch/qfield
justdan96/tsmuxer
tagattie/freebsd-electron
acts-project/acts
vatsim-uk/uk-controller-plugin
symless/synergy-core
prusa3d/prusaslicer
tiledb-inc/tiledb
meganz/sdk
unicode-org/icu
bitcoin-abc/bitcoin-abc
shader-slang/slang
trustwallet/wallet-core
intel/compute-runtime
nrel/energyplus
hpcc-systems/hpcc-platform
imageengine/cortex
microsoft/ccf
exult/exult
opennmt/ctranslate2
electron/electron
telegramdesktop/tdesktop
ethereum/solidity
esphome/esphome
oneapi-src/onednn
f4exb/sdrangel
cms-sw/cmssw
tablacus/tablacusexplorer
yuzu-emu/yuzu-mainline
supertriodo/arena-tracker
azure/azure-sdk-for-cpp
tensorflow/tensorflow
protocolbuffers/protobuf
grpc/grpc
osquery/osquery
swoole/swoole-src
facebook/folly
microsoft/react-native-windows
xbmc/xbmc
google/filament
apple/foundationdb
facebook/watchman
facebook/proxygen
tensorflow/serving
clementine-player/clementine
facebook/wangle
icinga/icinga2
facebookincubator/fizz
ifcopenshell/ifcopenshell
intel/intel-graphics-compiler
alisw/aliphysics
facebook/rocksdb
envoyproxy/envoy
taichi-dev/taichi
pcsx2/pcsx2
smeighan/xlights
clickhouse/clickhouse
mamedev/mame
px4/px4-autopilot
aliyun/aliyun-openapi-cpp-sdk
mltframework/shotcut
notepad-plus-plus/notepad-plus-plus
cleverraven/cataclysm-dda
alecazam/kram
slaclab/rogue
crypto-chassis/ccapi
pineappleea/pineapple-src
gamestabled/oot3d_randomizer
geode-solutions/opengeode-geosciences
keenon/nimblephysics
lithapp/lith
v6d-io/v6d
t-troll/alienfx-tools
chipsalliance/verible
library-data-platform/ldp
kiwibrowser/src.next
letscontrolit/espeasy
eugenemel/maven
llvm/torch-mlir
nonlinear-labs-dev/c15
cqcl/tket
insightsoftwareconsortium/itk-wasm
beyond-all-reason/spring
toitlang/toit
robertu94/libpressio
aymara/lima
redpanda-data/redpanda
rnd-ash/ultimate-nag52-fw
cocos/cocos-engine-external
maaassistantarknights/maaassistantarknights
drmortalwombat/oscar64
borf/browedit3
sfall-team/sfall
openziti/ziti-tunnel-sdk-c
armageddongames/zquestclassic
cse-sim/cse
superg/redumper
evanbowman/skyland-beta
meshtastic/firmware
dnaspider/dna
accelbyte/accelbyte-unreal-sdk-plugin
xiaoyifang/goldendict-ng
diffblue/cbmc
powergridmodel/power-grid-model
linux4/firmware-update
tenzir/tenzir
openxla/iree
chipsalliance/systemverilog-plugin
ZQuestClassic/ZQuestClassic
